Air pollution,Country,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rating,Rooms per person,Self-reported health,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
15.0,Russia,13.8,95.0,0.16,70.0,11.3,16657.0,2260.0,19.0,71.3,6.0,1.64,22101.0,90.0,5.96299982070923,1.0,43.0,492.0,14.9,65.0,54.0,16.1
11.8,Russia,13.8,95.0,0.1,70.0,4.8,19546.0,3476.6666666666665,17.4,73.2,5.5,1.1,23057.666666666668,89.0,5.81,1.0,43.0,481.0,14.950000000000001,68.0,62.0,16.0
16.0,Czech Republic,0.9,92.0,7.14,67.0,0.8,17262.0,17875.0,25.0,78.0,6.7,3.03,20645.0,87.0,6.505,1.4,60.0,496.0,14.98,59.0,81.0,17.9
16.0,Czech Republic,0.9,92.0,6.98,68.0,0.8,18404.0,17299.0,26.0,78.2,6.5,3.12,20338.0,85.0,6.505,1.4,60.0,500.0,14.98,59.0,85.0,18.1
17.0,Czech Republic,0.7,93.0,5.99,69.0,0.9,18953.0,20170.0,26.0,78.3,6.6,2.72,21185.0,90.0,6.596,1.4,60.0,500.0,15.03,59.0,88.0,17.4
20.0,Czech Republic,0.6,93.0,5.77,72.0,0.8,21103.0,24258.0,24.0,78.7,6.6,1.71,23722.0,89.0,6.60900020599365,1.4,61.0,491.0,15.06,59.0,87.0,17.3
17.0,Czech Republic,0.5,94.0,4.5,74.0,0.7,26664.0,20575.666666666668,23.4,79.3,6.9,0.6,29885.0,96.0,6.711,1.5,62.0,495.0,15.023333333333333,62.0,89.0,18.0
30.0,Netherlands,0.0,72.0,0.59,75.0,0.9,25697.0,71073.0,21.0,81.3,7.4,1.78,45362.0,92.0,7.378,2.0,76.0,522.0,15.44,75.0,94.0,18.6
30.0,Netherlands,0.0,73.0,0.45,74.0,0.9,27888.0,77961.0,19.0,81.2,7.3,2.4,47590.0,90.0,7.378,2.0,76.0,519.0,15.44,75.0,92.0,18.7
17.0,Netherlands,0.0,76.0,0.44,73.0,0.8,27759.0,71251.0,19.0,81.4,7.3,2.98,51003.0,88.0,7.339,1.9,76.0,519.0,15.9,75.0,94.0,17.9
14.0,Netherlands,0.0,77.0,0.45,75.0,0.6,28783.0,90002.0,20.0,81.6,7.4,2.56,52833.0,90.0,7.3769998550415,1.9,76.0,508.0,15.9,82.0,93.0,18.7
12.2,Netherlands,0.1,81.0,0.3,78.0,0.6,34984.0,248599.0,19.6,82.2,7.5,0.9,58828.0,94.0,7.441,2.0,75.0,502.0,15.45,79.0,91.0,19.0
13.0,Slovak Republic,1.1,91.0,6.48,60.0,1.2,17228.0,9651.0,25.0,76.1,5.9,8.89,20428.0,88.0,5.995,1.2,63.0,469.0,14.99,59.0,82.0,16.4
13.0,Slovak Republic,0.6,92.0,7.02,60.0,1.2,17503.0,8663.0,26.0,76.2,6.1,9.46,20307.0,90.0,5.995,1.1,66.0,472.0,14.99,59.0,81.0,16.3
16.0,Slovak Republic,1.3,91.0,6.23,61.0,1.2,18534.0,8896.0,25.0,76.5,6.2,8.8,22151.0,92.0,6.078,1.1,66.0,472.0,14.92,59.0,81.0,16.2
21.0,Slovak Republic,1.4,92.0,5.04,65.0,0.8,20265.0,10846.0,24.0,76.7,6.1,5.46,23508.0,91.0,6.09800004959106,1.1,66.0,463.0,15.01,60.0,82.0,15.9
18.5,Slovak Republic,1.5,92.0,4.2,68.0,0.8,21149.0,171425.0,27.4,77.8,6.5,3.0,23619.0,95.0,6.173,1.1,65.0,469.0,14.973333333333334,66.0,81.0,16.0
18.0,Brazil,6.7,43.0,10.74,67.0,25.5,10310.0,6875.0,21.0,73.4,7.2,2.17,7909.0,90.0,6.983,1.4,69.0,406.0,14.97,79.0,67.0,16.3
18.0,Brazil,6.7,45.0,10.41,67.0,25.5,11664.0,6844.0,21.0,73.7,7.0,1.97,17177.0,90.0,6.983,1.6,69.0,402.0,14.97,79.0,72.0,16.3
17.0,Brazil,6.7,46.0,9.45,67.0,26.7,11487.0,7566.0,21.0,75.0,6.5,0.81,10229.0,90.0,6.952,0.9,70.0,402.0,14.27,79.0,73.0,15.6
10.0,Brazil,6.7,49.0,7.15,64.0,27.6,12227.0,7102.0,20.0,74.7,6.6,3.37,14024.0,90.0,6.63500022888184,0.8,70.0,395.0,14.45,79.0,72.0,15.9
11.7,Brazil,6.7,57.0,5.6,57.0,19.0,11792.666666666666,7170.666666666667,20.666666666666668,75.9,6.1,2.05,13810.0,83.0,6.419,1.1,69.66666666666667,400.0,14.563333333333333,80.0,70.0,16.0
15.0,Finland,0.6,84.0,3.7,70.0,1.8,26904.0,20190.0,22.0,80.6,7.4,1.65,38976.0,93.0,7.406,1.9,69.0,529.0,14.89,69.0,95.0,19.7
15.0,Finland,0.6,85.0,3.58,69.0,1.4,27927.0,18761.0,22.0,80.7,7.4,1.73,40060.0,95.0,7.406,1.9,65.0,529.0,14.89,69.0,94.0,19.7
7.0,Finland,0.6,87.0,3.6,69.0,1.5,28238.0,24482.0,22.0,81.1,7.4,1.97,40742.0,94.0,7.413,1.9,65.0,529.0,15.17,69.0,94.0,19.7
6.0,Finland,0.5,88.0,3.91,69.0,1.4,29374.0,27972.0,23.0,81.6,7.5,2.33,42127.0,95.0,7.4689998626709,1.9,70.0,523.0,15.17,69.0,94.0,19.8
5.5,Finland,0.4,91.0,3.6,72.0,1.2,33471.0,230032.0,23.1,82.1,7.9,1.2,46230.0,96.0,7.632,1.9,68.0,516.0,15.17,69.0,97.0,20.0
24.0,Japan,6.4,93.0,22.62,71.0,0.3,25066.0,85309.0,22.0,82.7,6.0,1.67,36039.0,90.0,5.987,1.8,30.0,538.0,14.93,59.0,86.0,16.2
24.0,Japan,6.4,94.0,22.26,72.0,0.3,26111.0,86764.0,22.0,83.2,5.9,1.67,35405.0,89.0,5.987,1.8,30.0,540.0,14.93,53.0,85.0,16.3
16.0,Japan,6.4,94.0,21.89,73.0,0.3,27323.0,92818.0,22.0,83.4,5.9,1.36,35672.0,91.0,5.921,1.9,35.0,540.0,14.85,53.0,87.0,16.0
14.0,Japan,6.4,94.0,21.81,74.0,0.3,28641.0,97595.0,22.0,83.9,5.9,1.24,39113.0,90.0,5.92000007629395,1.9,35.0,529.0,14.85,53.0,86.0,16.4
13.7,Japan,6.4,94.0,21.986666666666668,77.0,0.2,28872.0,294735.0,21.8,84.4,6.1,0.8,38515.0,89.0,5.915,1.9,37.0,520.0,14.1,53.0,87.0,16.0
15.0,Denmark,0.4,77.0,2.06,73.0,0.8,25172.0,39951.0,24.0,79.9,7.6,2.11,45642.0,96.0,7.527,2.0,71.0,500.0,16.06,88.0,95.0,19.2
15.0,Denmark,0.9,78.0,2.03,73.0,0.3,26491.0,44488.0,24.0,80.1,7.5,1.78,48347.0,95.0,7.527,1.9,72.0,498.0,16.06,88.0,94.0,19.4
11.0,Denmark,0.5,80.0,2.21,73.0,0.3,26945.0,54839.0,25.0,80.4,7.5,1.66,49589.0,96.0,7.526,1.9,72.0,498.0,15.87,86.0,95.0,19.6
9.0,Denmark,0.6,81.0,2.2,75.0,0.7,28950.0,73543.0,24.0,80.8,7.5,1.35,52580.0,95.0,7.52199983596802,1.9,72.0,504.0,15.87,86.0,94.0,19.7
10.0,Denmark,0.5,82.0,1.1,74.0,0.5,33774.0,149864.0,23.3,81.5,7.5,0.9,58430.0,95.0,7.555,1.9,70.0,501.0,15.933333333333332,85.0,93.0,19.0
24.0,Spain,0.0,54.0,5.95,56.0,0.7,22799.0,23920.0,20.0,82.4,6.2,11.13,34747.0,92.0,6.329,1.9,75.0,490.0,16.06,69.0,75.0,17.6
24.0,Spain,0.1,55.0,5.89,56.0,0.6,22477.0,24774.0,22.0,82.5,6.5,12.96,34824.0,95.0,6.329,1.9,72.0,490.0,16.06,69.0,71.0,17.6
12.0,Spain,0.1,57.0,5.61,57.0,0.6,22007.0,29819.0,23.0,83.2,6.4,12.92,36013.0,96.0,6.361,1.9,72.0,490.0,15.93,73.0,71.0,17.7
11.0,Spain,0.1,58.0,4.55,60.0,0.6,23129.0,35443.0,22.0,83.0,6.4,9.49,37333.0,95.0,6.40299987792969,1.9,72.0,491.0,15.93,70.0,73.0,17.9
10.0,Spain,0.3,63.0,2.5,62.0,0.7,27155.0,366534.0,21.7,83.9,6.5,5.0,37922.0,93.0,6.31,1.9,75.0,490.3333333333333,15.75,72.0,76.0,18.0
33.0,Poland,3.5,89.0,7.58,60.0,1.0,16234.0,10406.0,23.0,76.9,5.7,3.51,21140.0,89.0,5.791,1.0,58.0,520.0,14.2,55.0,77.0,18.3
33.0,Poland,3.2,90.0,7.41,60.0,0.9,17852.0,10919.0,21.0,76.9,5.8,3.77,22655.0,91.0,5.791,1.1,58.0,521.0,14.2,55.0,79.0,18.4
17.0,Poland,3.1,91.0,7.25,62.0,1.0,17820.0,12902.0,22.0,77.1,6.0,3.26,23649.0,86.0,5.835,1.1,58.0,521.0,14.42,55.0,80.0,17.9
22.0,Poland,2.7,91.0,6.68,65.0,0.8,18906.0,14997.0,23.0,77.6,6.0,2.14,25921.0,89.0,5.97300004959106,1.1,58.0,504.0,14.42,55.0,80.0,17.7
22.8,Poland,2.3,93.0,4.2,69.0,0.5,23675.0,233221.0,21.2,78.0,6.1,0.6,32527.0,94.0,6.123,1.1,60.0,513.0,14.68,68.0,82.0,18.0
